phase,label,change,status,detection_rate_pct,detection_rate_std_pct,cold_chain,lstm_mape,cnn_f1,t_stat
1,1 Baseline,none,OK,0.7191304347826086,0.01283243108474124,0.8933333333333333,8.72776061296463,0.9683375950853155,37.58614877712226
2,2 Data quality,realistic distributions,OK,0.7140434782608696,0.013535099105380824,0.8933333333333333,8.72776061296463,0.9683375950853155,52.20212292700458
3,3 IF contamination,IF contamination 0.10->0.05,OK,0.7191304347826086,0.01283243108474124,0.96,8.72776061296463,0.9683375950853155,37.58614877712226
4,4 LSTM tuning,best hyperparams (grid search),OK,0.7191304347826086,0.01283243108474124,0.8933333333333333,8.345752954483032,0.9683375950853155,37.58614877712226
5,5 CNN overlap,CNN overlap 0.18->0.10,OK,0.7191304347826086,0.01283243108474124,0.8933333333333333,8.72776061296463,1.0,37.58614877712226
6,6 All combined,all improvements combined,OK,0.7140434782608696,0.013535099105380824,0.96,9.208793193101883,1.0,52.20212292700458
